Duchesnean	Chadronian-1	Chadronian-2	Chadronian-3	Chadronian-4	Arikareean-1	Arikareean-2	Arikareean-3	Arikareean-4	Hemingfordian-1	Hemingfordian-2	Barstovian-1	Barstovian-2	Clarendonian-1	Clarendonian-2	Clarendonian-3	Hemphillian-1	Hemphillian-2	Hemphillian-3	Hemphillian-4	Blancan-Early	Blancan-Late	
0	0	0	0	0	0	0	0.176	0.333	0.179	0.037	0	0	0	0	0	0	0	0	0	0	0	Oxydactylus
0	0	0	0	0	0	0	0.118	0.333	0.071	0.037	0.212	0	0	0	0	0	0	0	0	0	0	Moropus
0	0	0	0	0	0	0	0	0.167	0.214	0.074	0	0.024	0	0	0	0	0	0	0	0	0	Barbouromeryx
0	0	0	0	0	0	0	0.059	0.167	0.143	0.037	0	0	0	0	0	0	0	0	0	0	0	Problastomeryx
0	0	0	0	0	0	0	0	0	0.179	0.074	0	0	0	0	0	0	0	0	0	0	0	Aletomeryx
0	0	0	0	0	0.059	0	0.118	0	0.071	0	0	0	0	0	0	0	0	0	0	0	0	Arretotherium
0	0	0	0	0	0	0	0	0	0.036	0.111	0.121	0.048	0.2	0	0	0	0	0	0	0	0	Homocamelus
0	0	0	0	0	0	0	0	0	0	0.148	0.091	0	0	0	0	0	0	0	0	0	0	Subdromomeryx
0	0	0	0	0	0	0	0	0	0.036	0.074	0.061	0.071	0	0	0	0	0	0	0	0	0	Lambdoceras
0	0	0	0	0	0	0	0	0	0	0.037	0.152	0	0	0	0	0	0	0	0	0	0	Merriamoceros
0	0	0	0	0	0	0	0	0	0	0.111	0.03	0.095	0	0.033	0	0	0	0	0	0	0	Submeryceros
0	0	0	0	0	0	0	0	0	0	0	0.061	0.119	0.2	0.2	0.059	0	0.2	0	0	0	0	Protohippus
0	0	0	0	0	0	0	0	0	0	0	0.061	0.167	0.2	0.2	0.059	0.176	0.267	0.083	0.062	0	0	Calippus
0.05	0	0	0	0	0	0	0	0	0	0	0.03	0.024	0	0	0.118	0	0	0	0	0	0	Tapiroidea
0	0	0	0	0	0	0	0	0	0	0.037	0.061	0.071	0	0	0	0	0	0	0	0	0	Zygolophodon
