MN02	MN03	MN04	MN05	MN06	MN07	MN09	MN10	MN11	MN12	MN13	MN14	MN15	MN16	MN17	MQ18	MQ19	
0	0.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Acteocemas
0.233	0.156	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Paratapirus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377	Rangifer
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156	Bos
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	Dama
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.13	Hippopotamus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.247	Megaloceros
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273	Coelodonta
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	Ovibos
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.13	Capra
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091	Rupicapra
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	Palaeoloxodon
